,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
1,0,1.24769597,2.58451704,2.562710575,5.05306108,5.65217231,6.39702162,7.3317365,7.1402752,7.2206963,7.54340144,7.3461625,7.3461625,7.3461625
2,0.277796085,1.03508766,3.73705902,6.26685583,9.6721358,10.9880591,13.0149322,17.0288822,14.9538799,14.2255685,18.7776956,14.8903113,19.3505283,19.3243769
3,0.4332457,3.1497771,5.9073612,8.1615717,10.9765282,12.6207309,14.9266425,16.6853168,24.5614037,28.5168504,29.74765,32.1716544,35.615965,37.9189935
4,0,1.91928795,8.04715813,13.16136727,17.86766341,25.4661991,26.9440694,32.19286673,33.10268737,33.07033338,38.17420492,43.4455329,43.7775232,42.713707
5,1.21618377,2.64717445,4.64242947,7.4771232,8.81927507,10.20960507,10.19,10.17095603,10.26,10.3498908,10.39238554,9.357586334,11.43329651,11.36450389
6,1.98305843,4.29291205,4.68791863,7.34081845,9.42980186,10.57111588,12.99209041,13.7825563,15.36437412,13.305649,13.305649,13.305649,13.305649,13.305649
7,0.87174715,2.1151004,2.827893726,3.275757,4.53449915,8.0138522,10.2496592,11.56625765,12.27742815,12.7469917,13.21604475,13.668078,13.674721,13.30809285
8,0,0,0.4096675,1.00275273,1.25316105,1.7469054,1.8814218,2.0700936,2.62802315,2.7736644,2.78273635,2.755139,2.7475812,2.63608295
9,0,0.07432802,0.59156594,0.834226415,1.91810187,2.68530519,2.573571875,2.69683212,4.085188835,3.741247325,4.248184165,4.22352715,4.392584025,4.55907986
10,2.8374845,3.41733274,6.27372857,10.03223932,13.96687594,15.66185702,15.47331609,16.31219966,15.9992624,16.53595398,16.41965269,16.43017317,16.70886473,16.7464815
11,0,0.25916687,0.4459775,1.4128864,2.1847017,2.6979365,3.051892,3.1858544,3.2482738,3.0560298,3.3522756,3.4445412,3.4105303,3.4105303
12,0,0.82083911,2.738092605,4.64500328,6.65366754,7.134560813,8.638894975,9.526634605,8.86995775,8.900143885,9.428636645,9.30422795,9.642297525,9.265560755
13,0.39784498,0.73045677,1.11369205,1.617012145,2.182064915,2.73875807,5.07814648,5.57000102,6.02964668,6.875663955,6.541268088,7.32558094,7.02281731,6.678765795
14,0,1.3561145,4.964425,7.6574546,11.2885356,14.29218,17.801021,22.327657,25.140509,29.644963,32.227306,29.125931,32.888217,30.396254
15,0.232572945,0.362101305,1.2786129,1.452239835,1.402254015,1.6676884,1.8304484,1.94416182,1.86841275,2.0092315,1.83753865,1.7669935,1.7669935,1.7669935
16,0,0,1.784137747,6.100676253,9.138749033,11.93516777,16.18582087,18.36615123,21.04285297,24.0435226,26.67906233,28.9160788,30.32915457,31.30288917
17,0.239626185,1.96413081,3.437858905,3.820907755,3.966133525,3.73010182,3.7961031,3.7933917,3.50362672,3.543973715,3.883777795,3.82055558,3.525679195,3.401003585
18,3.47195398,10.5155481,16.30044423,20.22949485,23.20947192,29.16379291,35.47508957,36.12044769,38.21661958,40.2199864,41.42753608,43.71929813,40.87811631,44.08416748
19,0,0,2.75637875,6.868013537,11.15436468,14.45727756,18.68126124,23.4024717,27.44938217,31.13416497,32.66404342,32.98742358,35.55859455,35.55859455
20,1.379061945,2.77020008,3.36432616,3.79423079,5.22173034,6.245011035,7.395371985,10.66789723,11.69262271,13.48923959,14.32200662,15.33700887,15.31498809,15.92452004
