,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1,0.215420216,0.217612372,0.239895213,0.299117059,0.376517697,0.454248395,0.520400261,0.566954078,0.590788647,0.59355211,0.579925509,0.555595135,0.525719631,0.494136673
2,0.092732201,0.143882273,0.19194247,0.238633539,0.299440775,0.375294559,0.462107846,0.558759376,0.664472622,0.776086893,0.888568984,0.99693518,1.097546033,1.188326162
3,0.03858963,0.117999089,0.173338799,0.216784713,0.276499579,0.360998982,0.468427091,0.596163488,0.73959855,0.891054681,1.041808437,1.184720983,1.31539755,1.431895019
4,0.130921452,0.110079801,0.074129173,0.041669508,0.017663562,0.002296282,0.026272982,0.060220705,0.105231661,0.158196199,0.214135309,0.268346595,0.317583619,0.360297524
5,0.047522568,0.097584443,0.143488344,0.185386494,0.239163047,0.307436189,0.386928421,0.475954453,0.572814746,0.673867748,0.774176813,0.869239437,0.956054203,1.033178275
6,0.164801681,0.189776421,0.232952443,0.295639361,0.36235098,0.426610534,0.483022444,0.523854844,0.543916814,0.543461181,0.526917769,0.500018072,0.467769104,0.433816988
7,0.07793905,0.144455518,0.197217001,0.22115445,0.229512891,0.228686912,0.222916342,0.219247675,0.222920801,0.234653689,0.252215184,0.273038099,0.295465291,0.318646717
8,0.150001317,0.097365707,0.047331288,0.028997391,0.030534248,0.038772154,0.044803213,0.042414861,0.029310519,0.007015417,0.020864302,0.050514364,0.079060632,0.104909633
9,0.193284733,0.213678502,0.245952839,0.31303026,0.394608989,0.471110521,0.530193434,0.564875817,0.574243565,0.562518044,0.53641963,0.502643376,0.466386072,0.43093736
10,0.294729804,0.273362835,0.25918899,0.273303828,0.299299322,0.322261562,0.333870545,0.329904448,0.310613527,0.279925863,0.243281334,0.205636302,0.170402498,0.139283762
11,0.243357399,0.251648131,0.267608727,0.298639332,0.337545639,0.374851941,0.402693918,0.415935442,0.413514337,0.397976599,0.373595234,0.344576943,0.31406414,0.283914521
12,0.131587976,0.125578805,0.107245897,0.117524789,0.158611319,0.217072226,0.273463893,0.311704244,0.324710869,0.314000424,0.286041987,0.248518107,0.207946374,0.16875984
13,0.240441532,0.220879359,0.196795881,0.209371689,0.259500127,0.337196841,0.428063874,0.517885789,0.597487185,0.663643078,0.71703639,0.759823945,0.794111758,0.821412445
14,0.340214421,0.290213091,0.324281848,0.392656552,0.434903562,0.449889306,0.456121989,0.4709603,0.50175465,0.546653499,0.599264023,0.652760506,0.702151408,0.744822785
15,0.285036896,0.184482803,0.045660863,0.099057561,0.225432605,0.325744676,0.403387046,0.463241099,0.507747422,0.537448044,0.552670955,0.554585067,0.545379477,0.527889076
16,0.240988688,0.367011558,0.509725285,0.610051768,0.651677349,0.648575129,0.630772114,0.626821876,0.651745954,0.705440923,0.778539004,0.859576434,0.939413194,1.012513226
17,0.052493825,0.073848605,0.089663834,0.097902333,0.112394945,0.132700067,0.154613379,0.178906488,0.208247384,0.243421825,0.282763055,0.32347601,0.363036285,0.399857001
18,0.036831921,0.008542797,0.046310452,0.077622344,0.118655399,0.16751339,0.216412335,0.262289525,0.30453667,0.341928393,0.372713814,0.395973673,0.412201213,0.422866496
19,0.07631649,0.080740127,0.104000806,0.146075269,0.18520965,0.213413301,0.229379438,0.230894374,0.217191289,0.191225681,0.158723264,0.125657589,0.096237611,0.072270095
20,0.298836177,0.274703965,0.253100969,0.257235253,0.274655486,0.295739423,0.315402686,0.329148608,0.334456344,0.331744658,0.323466587,0.312579494,0.301413212,0.291256451
21,0.451047728,0.470624802,0.511434053,0.578543099,0.629623509,0.648931999,0.633634862,0.585372184,0.512759224,0.434051584,0.376819615,0.366817039,0.404857332,0.469115446
22,0.143294625,0.118379668,0.123162367,0.152719906,0.186183771,0.217915776,0.247106193,0.269334892,0.280168688,0.278956059,0.268750159,0.254049385,0.238665399,0.224776428
23,0.117764443,0.061280563,0.004863809,0.055224238,0.100247547,0.148293164,0.202907124,0.266023313,0.336915575,0.412130819,0.487093507,0.557772527,0.621557064,0.677348604
24,0.009443664,0.00687282,0.004843966,0.008930903,0.039287829,0.095648701,0.169490198,0.255339242,0.349049408,0.444986488,0.53637937,0.617326774,0.684375597,0.736826263
25,0.148782353,0.170311708,0.215254041,0.279806188,0.336507408,0.374564574,0.394095089,0.396725718,0.385052859,0.363111986,0.335463281,0.305975327,0.277165795,0.250197196
26,0.214767819,0.248754811,0.286807305,0.334220722,0.375140413,0.404236408,0.421270791,0.426021906,0.419704256,0.405644478,0.388053148,0.370534434,0.355312104,0.3432161
27,0.278654494,0.277636811,0.265661847,0.235593968,0.180138227,0.105642565,0.021917315,0.064386126,0.148373116,0.225784646,0.293733124,0.351294541,0.399123495,0.438603032
28,0.220024323,0.345445901,0.477087411,0.596049852,0.684185035,0.739742155,0.767588841,0.772158052,0.758566353,0.733512933,0.70396109,0.675471021,0.651386487,0.632946184
29,0.33186618,0.300746503,0.296418762,0.325266024,0.321707743,0.271972505,0.198138666,0.154105279,0.22103857,0.360853112,0.521284247,0.680754086,0.828170557,0.958049435
30,0.284447577,0.266810309,0.26370475,0.291704763,0.333163876,0.373049811,0.403175039,0.419302823,0.421197715,0.411932714,0.396022383,0.377677758,0.359863675,0.344133391
31,0.078355283,0.137637259,0.192742062,0.243496617,0.313095966,0.409071119,0.528788272,0.668754536,0.824484518,0.98899434,1.153421065,1.309124323,1.449690976,1.571824914
32,0.154894075,0.193789222,0.238269638,0.282828918,0.337948635,0.406687825,0.490060968,0.589582922,0.703841718,0.827021856,0.950748546,1.067030793,1.170320324,1.258088803
33,0.23447377,0.286714934,0.346939129,0.413660773,0.458852634,0.472342789,0.456454247,0.416153848,0.357932266,0.289627106,0.2189954,0.152219377,0.093173708,0.043496644
34,0.057145345,0.077942282,0.090859602,0.097494863,0.116039578,0.151594553,0.203269345,0.271389389,0.355353033,0.451218942,0.55228834,0.651398362,0.742984301,0.823951599
35,0.29425717,0.404602427,0.569126013,0.763837794,0.956172759,1.130815198,1.284219693,1.418840175,1.53857382,1.646049562,1.74198541,1.8259523,1.897472736,1.956735435
36,0.156359564,0.274729439,0.418516241,0.566308013,0.696025124,0.800919147,0.88108829,0.936885827,0.969854507,0.983630258,0.982896019,0.97202253,0.954423706,0.932553163
37,0.497551123,0.443124777,0.424870039,0.488150733,0.589888559,0.691885132,0.780372393,0.846175359,0.883508682,0.892555912,0.878927105,0.850881006,0.816414482,0.781604032
38,0.000458174,0.124929699,0.280394467,0.457954884,0.619110413,0.745762554,0.834674728,0.886491388,0.904601394,0.895279983,0.86634968,0.825451098,0.778858245,0.731040092
39,0.300885901,0.347962882,0.420899429,0.534661894,0.670053575,0.814844249,0.961976872,1.103742584,1.233351907,1.346471048,1.441119796,1.517165133,1.57588404,1.61949596
